id_detalle_venta,fecha_venta,id_producto,cantidad
1,2022-12-13,283,1
2,2022-12-13,226,1
3,2022-12-13,99,1
4,2022-12-13,196,2
5,2022-12-13,65,2
6,2022-12-13,48,3
7,2022-12-13,224,3
8,2022-12-13,46,3
9,2022-12-13,97,4
10,2022-12-13,66,4
11,2022-12-13,136,4
12,2022-12-13,56,5
13,2022-12-13,277,5
14,2022-12-13,78,6
15,2022-12-13,36,8
16,2022-12-13,282,10
17,2022-12-13,181,20
18,2022-12-13,300,25
19,2022-12-13,8,50
20,2022-12-13,289,50
21,2022-12-13,212,63
22,2022-12-13,295,98
23,2022-12-13,294,100
24,2022-12-13,55,100
25,2022-12-13,295,105
26,2022-12-13,15,105
27,2022-12-13,247,151
28,2022-12-13,265,300
29,2022-12-13,303,300
30,2022-12-13,295,500
31,2022-12-13,293,1000
32,2022-12-14,228,1
33,2022-12-14,285,1
34,2022-12-14,95,1
35,2022-12-14,97,1
36,2022-12-14,49,1
37,2022-12-14,22,1
38,2022-12-14,130,2
39,2022-12-14,282,2
40,2022-12-14,78,3
41,2022-12-14,256,3
42,2022-12-14,147,4
43,2022-12-14,250,5
44,2022-12-14,225,5
45,2022-12-14,38,14
46,2022-12-14,54,15
47,2022-12-14,282,15
48,2022-12-14,279,20
49,2022-12-14,109,26
50,2022-12-14,281,27
51,2022-12-14,109,28
52,2022-12-14,8,50
53,2022-12-14,114,50
54,2022-12-14,295,60
55,2022-12-14,114,68
56,2022-12-14,108,78
57,2022-12-14,222,80
58,2022-12-14,227,90
59,2022-12-14,111,105
60,2022-12-14,190,126
61,2022-12-14,204,276
62,2022-12-14,1,915
63,2022-12-14,167,1400
64,2022-12-14,265,1500
65,2022-12-14,173,2450
66,2022-12-15,281,1
67,2022-12-15,104,1
68,2022-12-15,27,1
69,2022-12-15,182,1
70,2022-12-15,179,1
71,2022-12-15,98,1
72,2022-12-15,101,1
73,2022-12-15,245,1
74,2022-12-15,136,2
75,2022-12-15,66,2
76,2022-12-15,285,2
77,2022-12-15,245,2
78,2022-12-15,56,3
79,2022-12-15,288,3
80,2022-12-15,228,4
81,2022-12-15,65,4
82,2022-12-15,194,5
83,2022-12-15,37,7
84,2022-12-15,37,9
85,2022-12-15,255,10
86,2022-12-15,193,18
87,2022-12-15,110,25
88,2022-12-15,176,29
89,2022-12-15,265,50
90,2022-12-15,54,100
91,2022-12-15,198,140
92,2022-12-15,158,153
93,2022-12-15,54,231
94,2022-12-15,54,240
95,2022-12-15,113,450
96,2022-12-15,181,693
97,2022-12-15,2,1000
98,2022-12-15,113,1225
99,2022-12-15,294,2000
100,2022-12-15,6,7302
101,2022-12-16,230,1
